account,name,link
@metaphornerd@fediscience.org, Brigitte Nerlich, https://fediscience.org/web/@metaphornerd
@iohannan@lingo.lol, Johan Schalin, https://lingo.lol/web/@iohannan
@stefanhartmann@fediscience.org, Stefan Hartmann, https://fediscience.org/@stefanhartmann
@grvsmth@toot.cat, Angus Andrea Grieve-Smith, https://toot.cat/@grvsmth
@fussballinguist@mastodon.social, Simon Meier-Vieracker, https://mastodon.social/@fussballinguist
@MarcSchulder@fediscience.org, Marc Schulder, https://fediscience.org/@MarcSchulder
@GrantBarrett@mas.to,Grant Barrett, https://mas.to/@grantbarrett
@ElenLeFoll@fediscience.org, Elen Le Foll, https://fediscience.org/@ElenLeFoll
@syntaxkatze@scicomm.xyz, Eleonore Schmitt, scicomm.xyz/@syntaxkatze 
@stefanowitsch@fediscience.org, Anatol Stefanowitsch, https://fediscience.org/@stefanowitsch
@elisakreiss@nerdculture.de, Elisa Kreiss, https://nerdculture.de/@elisakreiss
@tiana@fediscience.org, Tiana Simovic, https://fediscience.org/@tiana
@audringje@mastodon.nl, Jenny Audring , https://mastodon.nl/@audringje
@ollisilv@fediscience.org, Olli Silvennoinen, https://fediscience.org/web/@ollisilv
@alexanderlasch@mastodon.social, Alexander Lasch , https://mastodon.social/@alexanderlasch
@anotherklokwerkparallel@lingo.lol, Dash Stevens , https://lingo.lol/@anotherklokwerkparallel 
@BerLinguistin@mas.to, Naomi Truan, https://mas.to/@BerLinguistin 
@arche3000@mastodon.social, Noah Bubenhofer, https://mastodon.social/@arche3000
@emilymbender@dair-community.social, Emily M. bender, https://dair-community.social/@emilymbender
@josch@chaos.social, Joachim Scharloth, https://chaos.social/@josch
@primahadi@mastodon.online, Gede Primahadi Wijaya Rajeg, https://mastodon.online/@primahadi
@jbhay@mastodon.nz, Jen Hay, https://mastodon.nz/web/@jbhay
@litngucat@scholar.social, Katja Politt, https://scholar.social/@lingucat
@dmncschmtz@mastodon.social,Dominic Schmitz, https://mastodon.social/@dmncschmtz
@superlinguo@scicomm.xyz, Lauren Gawne, https://scicomm.xyz/@superlinguo
@coocho@lingo.lol, Daria Dayter, https://lingo.lol/web/@Coocho
@dingemansemark@scholar.social, Mark Dingemanse, https://scholar.social/@dingemansemark
@johannalaakso@mastodon.social, Johanna Laakso, https://mastodon.social/@johannalaakso
@fonolog@mstdn.social, Marc van Oostendorp, https://mstdn.social/@fonolog 
@gretchenmcc@xoxo.zone, Gretchen McCulloch , https://xoxo.zone/@gretchenmcc  
@socalab@fediscience.org, Covadonga Lamar Prieto , https://fediscience.org/@Socalab
@lila@scholar.social, Evangelia (Lila) Adamou, https://scholar.social/@Lila
@f_moncomble@mastodon.online, Florent Moncomble, https://mastodon.online/@f_moncomble
@rbnmyr@mas.to, Robin Meyer, https://mas.to/@rbnmyr
@joran@mstdn.social, Jhonnatan Rangel, 
@liskerr@mastodon.online, Elisabeth (Lis) Kerr, https://mastodon.online/@liskerr
@MarCandea@mastodon.zaclys.com,Maria Candea, https://mastodon.zaclys.com/web/@MarCandea
@canders1@sigmoid.social, Carolyn Anderson, https://sigmoid.social/@canders1
@branpap@lingo.lol, Bran[don] Papineau, https://lingo.lol/web/@branpap
@wendy_elvira@lingo.lol, Wendy Elvira-Garcia, https://lingo.lol/web/@wendy_elvira
@leovarnet@qoto.org, Leo Varnet, https://qoto.org/@leovarnet
@mlvp71@fediscience.org, Margo Van Poucke, https://fediscience.org/@mlvp71
@CharlotteTaylor@fediscience.org, Charlotte Taylor, https://fediscience.org/@CharlotteTaylor
@mdanganh@scholar.social, Mark Dang-Anh, https://scholar.social/@mdanganh
@kristinkopf@fediscience.org, Kristin Kopf, https://fediscience.org/@kristinkopf
@sambennett, Samuel Bennett, https://mastodon.online/@sambennett
@sorensorensen@lingo.lol, Søren Sandager Sørensen, https://lingo.lol/web/@sorensorensen
@sebastianpado@fediscience.org, Sebastian Pado, https://fediscience.org/web/@sebastianpado
@EScetera@mastodon.online, Esther Voon, https://mastodon.online/@EScetera
@mariontellier@mastodon.iriseden.euhttps://mastodon.iriseden.eu/@mariontellier
